design,design_hybrid_06_abucnasty,design_hybrid_05_thaeln_abucnasty,design_hybrid_04_thaeln_abucnasty,design_hybrid_03_thaeln_abucnasty,design_hybrid_01_abucnasty,design_35_henryjk,design_27_geist_fixed,design_18_lady_meyneth,design_14_abucnasty,design_12_phlap,design_08_lady_meyneth,design_01_undertow,design_00_baseline
burner_inserter_from_turbo_transport_belt_to_assembling_machine_3_chemical_science_pack,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_chemical_plant_plastic_bar,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_chemical_plant_plastic_bar_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_electromagnetic_plant_copper_cable,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_electromagnetic_plant_copper_cable_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_express_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_express_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_fast_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_fast_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_steel_chest,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_assembling_machine_3_chemical_science_pack,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_assembling_machine_3_engine_unit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_assembling_machine_3_iron_gear_wheel,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_assembling_machine_3_pipe,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_electromagnetic_plant_copper_cable,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_electromagnetic_plant_copper_cable_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_electromagnetic_plant_electronic_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_electromagnetic_plant_electronic_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_stone_furnace_undefined,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_stone_furnace_undefined_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_underground_belt_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_assembling_machine_3_chemical_science_pack,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_assembling_machine_3_engine_unit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_assembling_machine_3_iron_gear_wheel,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_assembling_machine_3_pipe,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_building,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_building_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_chemical_plant_plastic_bar,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_chemical_plant_plastic_bar_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_chest,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_electromagnetic_plant_copper_cable,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_electromagnetic_plant_copper_cable_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_electromagnetic_plant_electronic_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_electromagnetic_plant_electronic_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_express_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_express_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_express_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_fast_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_fast_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_steel_chest,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_stone_furnace_undefined,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_stone_furnace_undefined_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
cargo_wagon,0,4,0,0,0,0,0,8,0,0,8,0,0
chemical_plant,0,0,0,0,0,32,0,0,0,0,0,0,0
chemical_plant_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
constant_combinator,68,28,44,46,68,12,59,0,46,0,0,0,10
cryogenic_plant,6,5,6,6,6,2,5,10,6,6,10,10,4
cryogenic_plant_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
decider_combinator,22,26,40,40,22,28,20,24,38,24,22,0,0
display_panel,2,1,4,4,2,2,0,0,6,0,0,0,0
ee_infinity_loader,2,1,2,2,2,6,0,2,2,4,2,0,2
ee_infinity_pipe,8,0,8,8,8,0,0,0,8,0,0,0,8
electric_energy_interface,0,0,0,0,0,2,0,0,0,0,0,0,0
electromagnetic_plant,12,12,12,12,12,64,9,12,12,10,12,10,16
electromagnetic_plant_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
express_splitter,0,0,0,0,0,0,0,0,0,0,0,0,0
express_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
express_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
express_underground_belt,4,0,4,4,4,0,0,0,4,0,0,0,0
fast_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
foundry,26,21,20,20,26,46,9,76,20,48,76,24,14
foundry_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
foundry_set_recipe,0,10,10,10,0,16,0,0,10,0,0,0,0
infinity_chest,0,2,2,2,0,0,2,0,2,0,0,10,2
infinity_pipe,0,4,0,0,0,8,0,8,0,8,8,0,0
inserter_all,282,252,258,258,282,600,229,314,258,326,314,288,294
inserter_all_chest_to_chest,0,6,0,0,0,0,0,0,0,0,0,0,0
inserter_all_chest_to_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_direct_insertion,120,24,40,40,120,416,64,192,40,164,192,112,4
inserter_all_direct_insertion_circuit_enabled,112,16,40,40,112,416,60,188,40,164,188,16,0
inserter_all_direction_insertion_percent,85.1063829787234,9.523809523809524,31.007751937984494,31.007751937984494,85.1063829787234,138.66666666666669,27.947598253275107,122.29299363057325,31.007751937984494,100.61349693251533,122.29299363057325,38.88888888888889,2.7210884353741496
inserter_all_from_assembling_machine_3_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_advanced_circuit_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_advanced_circuit_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_chemical_science_pack,44,44,44,44,44,64,44,44,44,44,44,44,48
inserter_all_from_assembling_machine_3_chemical_science_pack_circuit_enabled,44,44,44,44,44,64,44,0,44,0,0,0,0
inserter_all_from_assembling_machine_3_chemical_science_pack_circuit_set_filters,0,0,0,0,0,0,0,44,0,44,44,0,0
inserter_all_from_assembling_machine_3_chemical_science_pack_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_chemical_science_pack_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_chemical_science_pack_to_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_chemical_science_pack_to_express_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,44,42,44,44,44,0,44,0,44,40,0,44,48
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_enabled,44,42,44,44,44,0,44,0,44,0,0,0,0
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_set_filters,0,0,0,0,0,0,0,0,0,40,0,0,0
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt,0,2,0,0,0,64,0,44,0,4,44,0,0
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt_circuit_enabled,0,2,0,0,0,64,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt_circuit_set_filters,0,0,0,0,0,0,0,44,0,4,44,0,0
inserter_all_from_assembling_machine_3_copper_cable,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_copper_cable_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_copper_cable_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_copper_cable_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_electronic_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
