entity,00_baseline,01_geist,02_geist,03_swiftdeath007,04_goirelandbrad,05_flexime,06_mulain,07_rydberg,08_derantrix,09_azhrei,10_thaeln,11_thaeln,13_yuu,14_redphoenixq,15_yoyonas,16_teaz,17_akaravortex,18_akaravortex,19_akaravortex,20_groot_opperhoofd,21_em,22_warbaque,23_warbaque,24_syvkal,25_mcmayhem57,26_galacta487,27_theflyingcurryfish154,28_erichteia,29_the_end
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,0,20,0,48,0,32,32,32,0,32,20,20,0,0,0,52,40,80,40,36,32,32,32,0,0,0,14,32,0
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,20,0,48,0,32,32,32,0,32,20,20,0,0,0,52,40,80,40,36,32,32,32,0,0,0,14,24,0
inserter_all_from_cryogenic_plant_plastic_bar_to_steel_chest,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,0,0,0,0,16,0,0,0,0,0,0,0,19,16,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_underground_input,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_underground_input_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_wooden_chest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
inserter_all_from_electric_furnace,32,40,48,48,48,48,48,48,32,40,40,40,54,32,32,48,32,64,40,36,32,48,48,32,48,32,40,48,36
inserter_all_from_electric_furnace_circuit_enabled,0,40,48,48,0,0,48,48,32,40,40,40,0,32,32,48,32,64,40,36,32,48,48,32,40,32,40,48,36
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace,32,40,48,48,48,0,48,0,0,40,40,40,54,16,0,48,16,32,40,0,16,48,48,16,48,0,40,48,36
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace_circuit_enabled,0,40,48,48,0,0,48,0,0,40,40,40,0,16,0,48,16,32,40,0,16,48,48,16,40,0,40,48,36
inserter_all_from_electric_furnace_to_steel_chest,0,0,0,0,0,48,0,0,32,0,0,0,0,16,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0
inserter_all_from_electric_furnace_to_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,32,0,0,0,0,16,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0
inserter_all_from_electric_furnace_to_turbo_transport_belt,0,0,0,0,0,0,0,48,0,0,0,0,0,0,32,0,0,0,0,12,0,0,0,0,0,32,0,0,0
inserter_all_from_electric_furnace_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,48,0,0,0,0,0,0,32,0,0,0,0,12,0,0,0,0,0,32,0,0,0
inserter_all_from_electric_furnace_to_underground_input,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
inserter_all_from_electric_furnace_to_underground_input_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
inserter_all_from_electric_furnace_to_underground_output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
