entity,00_baseline,01_undertow,02_swiftdeath007,03_swiftdeath007,04_swiftdeath007,05_derantrix,06_imp,07_osboz,08_lady_meyneth,09_jobo,10_ztirom22,11_theflyingcurryfish154,12_phlap,13_phlap,14_abucnasty_Stage_1,14_abucnasty_Stage_2,14_abucnasty_Stage_3,14_abucnasty,17_henryjk,18_lady_meyneth,19_werezwolf,20_toda1,21_syvkal_STAGE_0,21_syvkal_STAGE_1,21_syvkal,22_mcmayhem57,23_mcmayhem57,24_mcmayhem57,25_ashtroboy_1,25_ashtroboy_Paste_after_sulfur_rounds_corner_and_imediatly_after_lamp_blinks,25_ashtroboy,26_mrcooki4,27_geist,28_geist,29_geist,30_reja,31_minebuilder,32_reja,33_syvkal_STAGE_0,33_syvkal_STAGE_1,33_syvkal,34_osboz,35_henryjk
burner-inserter_from_stone-furnace_undefined_to_turbo-underground-belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0
burner-inserter_from_turbo-splitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_assembling-machine-3_chemical-science-pack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_chemical-plant_plastic-bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_chemical-plant_plastic-bar_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_electromagnetic-plant_copper-cable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_electromagnetic-plant_copper-cable_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_express-transport-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_express-transport-belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_fast-transport-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_fast-transport-belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_steel-chest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_steel-chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_transport-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_transport-belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_turbo-transport-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
burner-inserter_from_turbo-transport-belt_to_turbo-transport-belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
burner-inserter_from_turbo-underground-belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651,0,0,0,0,0,0
burner-inserter_from_turbo-underground-belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416,0,0,0,0,0,0
burner-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
burner-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
burner-inserter_from_turbo-underground-belt_to_assembling-machine-3_engine-unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
