number_of_miners,mining_prod_level,beacon_1,beacon_2,beacon_3,rate_Q2,rate_Q1,rate_Q3,rate_Q4,rate_Q5,rate_voided
1,641,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.04,700.25,12,1.2,0.13,713.58
2,641,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,240.08,1400.49,24.01,2.4,0.27,1427.17
1,643,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.15,820.05,12.01,1.2,0.13,833.39
1,645,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,,120.1,1079.72,12.01,1.2,0.13,1093.06
1,649,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,120.05,651.27,12.01,1.2,0.13,664.61
2,649,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,240.11,1302.54,24.01,2.4,0.27,1329.22
1,651,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,120.17,651.88,12.02,1.2,0.13,665.23
2,651,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,240.33,1303.76,24.03,2.4,0.27,1330.46
1,657,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.03,1200.3,12,1.2,0.13,1213.63
2,658,efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,60.03,200.1,6,0.6,0.07,206.77
1,669,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,,120.06,1200.57,12.01,1.2,0.13,1213.91
1,669,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,120.13,1349.64,12.01,1.2,0.13,1362.98
1,670,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,120.04,1348.54,12,1.2,0.13,1361.87
1,681,speed-2-Q5|speed-2-Q5,,,120.09,651.45,12.01,1.2,0.13,664.79
2,681,speed-2-Q5|speed-2-Q5,,,240.17,1302.89,24.02,2.4,0.27,1329.58
1,682,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,60.08,223.47,6.01,0.6,0.07,230.15
